Universidad,Sigla,Latitud,Longitud,Rector / decano,Año de fundación,Tipo de Institución,Página web,Municipio
Universidad Nacional Arturo Jauretche,UNAJ,"-34,77","-58,27",Arnaldo Medina,2009,Nacional,www.unaj.edu.ar,Florencia Varela
Universidad Nacional de Avellaneda,UNDAV,"-34,66","-58,37",Jorrge Calzoni,2009,Nacional,www.undav.edu.ar,Avellaneda
Universidad Nacional del Centro de la Provincia de Buenos Aires,UNICEN,"-37,33","-59,14",Marcelo Aba,1974,Nacional,www.unicen.edu.ar,Tandil
Universidad Nacional de General San Martín,UNSAM,"-34,58","-58,52",Carlos Greco,1992,Nacional,www.unsam.edu.ar,San Martin
Universidad Nacional de General Sarmiento,UNGS,"-34,52","-58,70",Gabriela Diker,1992,Nacional,www.ungs.edu.ar,San Miguel
Universidad Nacional Guillermo Brown,UNAB,"-34,84","-58,38",Pablo Matías Domenichini,2015,Nacional,www.unab.edu.ar,Almirante Brown
Universidad Nacional de Hurlingham,UNAHUR,"-34,62","-58,63",Walter Wallach,2014,Nacional,www.unahur.edu.ar,Hurlingham
Universidad Nacional de José C. Paz,UNPAZ,"-34,52","-58,75",Darío Kusinsky,2009,Nacional,www.unpaz.edu.ar,Jose C. Paz
Universidad Nacional de La Matanza,UNLAM,"-34,67","-58,56",Daniel Martínez,1989,Nacional,www.unlam.edu.ar,La Matanza
Universidad Nacional de La Plata,UNLP,"-34,91","-57,95",Martín López Armengol,1905,Nacional,www.unlp.edu.ar,La Plata
Universidad Nacional de Lanús,UNLA,"-34,74","-58,39",Ana Jaramillo,1995,Nacional,www.unla.edu.ar,Lanus
Universidad Nacional de Lomas de Zamora,UNLZ,"-34,78","-58,45",Diego Molea,1972,Nacional,www.unlz.edu.ar,Lomas de Zamora
Universidad Nacional de Luján,UNL,"-34,58","-59,09",Manuel Tanoira,1972,Nacional,www.unlu.edu.ar,Luján
Universidad Nacional de Mar del Plata,UNMDP,"-38,00","-57,57",Alfredo Lazzeretti,1961,Nacional,www.mdp.edu.ar,General Pueyrredón
Universidad Nacional de Moreno,UNM,"-34,65","-58,78",Hugo Andrade,2009,Nacional,www.unm.edu.ar,Moreno
Universidad Nacional de San Antonio de Areco,UNSA,"-34,26","-59,48",Jerónimo Ainchil,2015,Nacional,www.unsada.edu.ar,San Antonio de Areco
Universidad Nacional de Tres de Febrero,UNTREF,"-34,60","-58,56",Martín Kaufmann,1995,Nacional,www.untref.edu.ar,Tres de Febrero
Universidad Nacional del Noroeste de la Provincia de Buenos Aires,UNNOBA,"-34,57","-60,95",Guillermo Tamarit,2017,Nacional,www.unnoba.edu.ar,Junin
Universidad Nacional del Oeste,UNO,"-34,66","-58,70",Roberto Gallo,2009,Nacional,www.uno.edu.ar,Merlo
Universidad Nacional de Quilmes,UNQ,"-34,71","-58,28",Alfredo Alfonso,1989,Nacional,http://www.unq.edu.ar/,Quilmes
Universidad Nacional del Sur,UNS,"-38,70","-62,27",Daniel Vega,1956,Nacional,www.uns.edu.ar,Bahía Blanca
Universidad Nacional Raúl Scalabrini Ortiz,UNSO,"-34,47","-58,51",Adriana Esther Cecilia López,2015,Nacional,www.unso.edu.ar,San Isidro
Universidad Nacional del Delta,UND,"-34,45","-58,56",Silvia Carolina Farías,2023,Nacional,,San Fernando
Universidad Nacional de Pilar,UNP,,,,2023,Nacional,,Pilar
UTN Facultad Regional Avellaneda,UTN Avellaneda,"-34,66","-58,36",Luis Alberto Garaventa,1955,Nacional,www.fra.utn.edu.ar/,Avellaneda
UTN Facultad Regional Bahia Blanca,UTN BB,"-38,71","-62,26",Alejandro Staffa,1954,Nacional,www.frbb.utn.edu.ar/frbb/index.php,Bahia Blanca
UTN Facultad Regional Delta,UTN Delta,"-34,18","-58,96",Miguel Sosa,1972,Nacional,www.frd.utn.edu.ar/,Campana
UTN Facultad Regional La Plata,UTN LP,"-34,90","-57,93",Luis Ricci,1954,Nacional,www.frlp.utn.edu.ar/,La Plata
UTN Facultad Regional Haedo,UTN Haedo,"-34,64","-58,60",Carlos Hugo Salvador,1972,Nacional,www.frh.utn.edu.ar/,Morón
UTN Facultad Regional General Pacheco,UTN Pacheco,"-34,46","-58,62",José Luis García,1972,Nacional,www.frgp.utn.edu.ar/,Tigre
UTN Facultad Regional San Nicolás,UTN SN,"-33,33","-60,21",Haroldo Tomás Avetta,1961,Nacional,http://www.frsn.utn.edu.ar/,San Nicolás
UTN Facultad Regional Mar del Plata,UTN MDP,"-38,05","-57,54",Fernando Scholtus,2017,Nacional,www.mdp.utn.edu.ar/,General Pueyrredón
UTN Facultad Regional Trenque Lauquen,UTN TL,"-35,99","-62,73",Patricio Picco,2009,Nacional,www.frtl.utn.edu.ar/index.asp,Trenque Lauquen
Universidad Provincial de Ezeiza,UPE,"-34,79","-58,52",Daniel Galli,2009,Provincial,www.upe.edu.ar,Ezeiza
Universidad Provincial del Sudoeste,UPSO,"-38,69","-62,24",Andrea Savoretti,1992,Provincial,www.upso.edu.ar,Bahía Blanca
