Municipio,Cabecera,Intendente,Partido,Interna,Seccion,Poblacion,Superficie,Densidad hab/km2,Concejales,GBA
Tordillo,General Conesa,Héctor Aníbal Olivera,PJ,AK,5ª,2.542,1.334,2,6,No
General Guido,General Guido,Carlos Rocha,PJ,AK,5ª,3.174,2.326,1,6,No
Pila,Pila,Sebastián Walker,PJ,AK,5ª,4.642,3.449,1,6,No
General Lavalle,General Lavalle,Nahuel Guardia,UCR,,5ª,4.87,2.705,2,6,No
Lezama,Lezama,Arnaldo Harispe,UCR,,5ª,6.221,1.047,6,6,No
Pellegrini,Pellegrini,Sofía Gambier,UCR,,6ª,7.143,1.821,4,10,No
Monte Hermoso,Monte Hermoso,Hernán Fabio Arranz,PJ,CFK,6ª,8.465,200,42,10,No
San Cayetano,San Cayetano,Miguel Ángel Gargaglione,UCR,,5ª,8.994,2.997,3,10,No
Tres Lomas,Tres Lomas,Luciano Spinolo Sayago,UCR,,6ª,9.164,1.252,7,10,No
Salliqueló,Salliqueló,Ariel Succurro,PJ,AK,6ª,9.427,796,12,10,No
Castelli,Castelli,Francisco José Echarren,PJ,AK,5ª,9.594,2.113,5,10,No
Hipólito Yrigoyen,Henderson,Luis Pugnaloni,PJ,AK,4ª,10.661,1.645,6,10,No
Tapalqué,Tapalqué,Gustavo Cocconi,PJ,AK,7ª,10.783,4.169,3,10,No
Florentino Ameghino,Florentino Ameghino,Nahuel Mittelbach,UCR,,4ª,10.79,1.813,6,10,No
Maipú,Maipú,Matías Rapallini,UCR,,5ª,11.323,2.604,4,12,No
General La Madrid,General La Madrid,Martín Randazzo,UCR,,6ª,11.618,4.814,2,12,No
Laprida,Laprida,Alfredo Fisher,PJ,AK,6ª,11.646,3.448,3,12,No
Suipacha,Suipacha,Juan Luis Mancini,LC,CFK,1ª,11.786,943,12,12,No
Guaminí,Guaminí,José Nobre Ferreira,PJ,AK,6ª,11.801,4.824,2,12,No
Punta Indio,Verónica,David Angueira,PJ,AK,3ª,12.297,1.605,8,10,No
General Alvear,General Alvear,Ramón José Capra,UCR,,7ª,12.631,3.366,4,12,No
Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,Miriam Lucía Gómez,UCR,,6ª,12.914,3.789,3,12,No
General Pinto,General Pinto,Jorge Alfredo Zavatarelli,PJ,NS/NC,4ª,12.941,2.558,5,12,No
Alberti,Alberti,Germán Lago,PJ,AK,4ª,12.982,1.123,12,12,No
Roque Pérez,Roque Pérez,Maximiliano Sciaini,FR,NS/NC,7ª,13.977,1.556,9,12,No
Carlos Tejedor,Carlos Tejedor,María Celia Gianini,PJ,AK,4ª,14.079,3.912,4,12,No
General Paz,Ranchos,Juan Manuel Álvarez,PJ,AK,5ª,14.207,1.2,12,12,No
Tornquist,Tornquist,Sergio Bordoni,Acción por Tornquist,NS/NC,6ª,14.81,4.16,4,12,No
